row_id,order_date,ship_date,ship_mode,customer_name,segment,city,state,region,category,sub_category,sales,quantity,discount,profit,year,shipping_days,ship_status
25,2015-09-25,2015-09-30,Standard Class,Emily Burns,Consumer,Orem,Utah,West,Furniture,Tables,1044.63,3,0.0,240.2649,2015,5,Standard delivery
26,2016-01-16,2016-01-20,Second Class,Eric Hoffmann,Consumer,Los Angeles,California,West,Office Supplies,Binders,11.648,2,0.2,4.2224,2016,4,Standard delivery
27,2016-01-16,2016-01-20,Second Class,Eric Hoffmann,Consumer,Los Angeles,California,West,Technology,Accessories,90.57,3,0.0,11.7741,2016,4,Standard delivery
28,2015-09-17,2015-09-21,Standard Class,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Furniture,Bookcases,3083.43,7,0.5,-1665.0522,2015,4,Standard delivery
29,2015-09-17,2015-09-21,Standard Class,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,9.618,2,0.7,-7.0532,2015,4,Standard delivery
30,2015-09-17,2015-09-21,Standard Class,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Furniture,Furnishings,124.2,3,0.2,15.525,2015,4,Standard delivery
31,2015-09-17,2015-09-21,Standard Class,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Envelopes,3.264,2,0.2,1.1016,2015,4,Standard delivery
32,2015-09-17,2015-09-21,Standard Class,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,86.304,6,0.2,9.7092,2015,4,Standard delivery
33,2015-09-17,2015-09-21,Standard Class,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,6.858,6,0.7,-5.715,2015,4,Standard delivery
34,2015-09-17,2015-09-21,Standard Class,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,15.76,2,0.2,3.546,2015,4,Standard delivery
35,2017-10-19,2017-10-23,Second Class,Matt Abelman,Home Office,Houston,Texas,Central,Office Supplies,Paper,29.472,3,0.2,9.9468,2017,4,Standard delivery
36,2016-12-08,2016-12-10,First Class,Gene Hale,Corporate,Richardson,Texas,Central,Technology,Phones,1097.544,7,0.2,123.4737,2016,2,Fast delivery
37,2016-12-08,2016-12-10,First Class,Gene Hale,Corporate,Richardson,Texas,Central,Furniture,Furnishings,190.92,5,0.6,-147.963,2016,2,Fast delivery
38,2015-12-27,2015-12-31,Standard Class,Steve Nguyen,Home Office,Houston,Texas,Central,Office Supplies,Envelopes,113.328,9,0.2,35.415,2015,4,Standard delivery
39,2015-12-27,2015-12-31,Standard Class,Steve Nguyen,Home Office,Houston,Texas,Central,Furniture,Bookcases,532.3992,3,0.32,-46.9764,2015,4,Standard delivery
40,2015-12-27,2015-12-31,Standard Class,Steve Nguyen,Home Office,Houston,Texas,Central,Furniture,Chairs,212.058,3,0.3,-15.147,2015,4,Standard delivery
41,2015-12-27,2015-12-31,Standard Class,Steve Nguyen,Home Office,Houston,Texas,Central,Technology,Phones,371.168,4,0.2,41.7564,2015,4,Standard delivery
42,2017-09-10,2017-09-15,Standard Class,Linda Cazamias,Corporate,Naperville,Illinois,Central,Technology,Phones,147.168,4,0.2,16.5564,2017,5,Standard delivery
43,2016-07-17,2016-07-22,Standard Class,Ruben Ausman,Corporate,Los Angeles,California,West,Office Supplies,Storage,77.88,2,0.0,3.894,2016,5,Standard delivery
44,2017-09-19,2017-09-23,Standard Class,Erin Smith,Corporate,Melbourne,Florida,South,Office Supplies,Storage,95.616,2,0.2,9.5616,2017,4,Standard delivery
45,2016-03-11,2016-03-13,First Class,Odella Nelson,Corporate,Eagan,Minnesota,Central,Technology,Accessories,45.98,2,0.0,19.7714,2016,2,Fast delivery
46,2016-03-11,2016-03-13,First Class,Odella Nelson,Corporate,Eagan,Minnesota,Central,Office Supplies,Binders,17.46,2,0.0,8.2062,2016,2,Fast delivery
47,2014-10-20,2014-10-25,Second Class,Patrick O'Donnell,Consumer,Westland,Michigan,Central,Office Supplies,Storage,211.96,4,0.0,8.4784,2014,5,Standard delivery
48,2016-06-20,2016-06-25,Standard Class,Lena Hernandez,Consumer,Dover,Delaware,East,Technology,Accessories,45.0,3,0.0,4.95,2016,5,Standard delivery
49,2016-06-20,2016-06-25,Standard Class,Lena Hernandez,Consumer,Dover,Delaware,East,Technology,Phones,21.8,2,0.0,6.104,2016,5,Standard delivery
50,2015-04-18,2015-04-22,Standard Class,Darren Powers,Consumer,New Albany,Indiana,Central,Office Supplies,Binders,38.22,6,0.0,17.9634,2015,4,Standard delivery
51,2015-04-18,2015-04-22,Standard Class,Darren Powers,Consumer,New Albany,Indiana,Central,Office Supplies,Labels,75.18,6,0.0,35.3346,2015,4,Standard delivery
52,2015-04-18,2015-04-22,Standard Class,Darren Powers,Consumer,New Albany,Indiana,Central,Furniture,Furnishings,6.16,2,0.0,2.9568,2015,4,Standard delivery
53,2015-04-18,2015-04-22,Standard Class,Darren Powers,Consumer,New Albany,Indiana,Central,Furniture,Chairs,89.99,1,0.0,17.0981,2015,4,Standard delivery
54,2016-12-11,2016-12-17,Standard Class,Janet Molinari,Corporate,New York City,New York,East,Office Supplies,Fasteners,15.26,7,0.0,6.2566,2016,6,Standard delivery
55,2016-12-11,2016-12-17,Standard Class,Janet Molinari,Corporate,New York City,New York,East,Technology,Phones,1029.95,5,0.0,298.6855,2016,6,Standard delivery
56,2016-06-17,2016-06-18,First Class,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Storage,208.56,6,0.0,52.14,2016,1,Fast delivery
57,2016-06-17,2016-06-18,First Class,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Paper,32.4,5,0.0,15.552,2016,1,Fast delivery
58,2016-06-17,2016-06-18,First Class,Ted Butterfield,Consumer,Troy,New York,East,Furniture,Chairs,319.41,5,0.1,7.098,2016,1,Fast delivery
59,2016-06-17,2016-06-18,First Class,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Paper,14.56,2,0.0,6.9888,2016,1,Fast delivery
60,2016-06-17,2016-06-18,First Class,Ted Butterfield,Consumer,Troy,New York,East,Technology,Accessories,30.0,2,0.0,3.3,2016,1,Fast delivery
61,2016-06-17,2016-06-18,First Class,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Binders,48.48,4,0.2,16.362,2016,1,Fast delivery
62,2016-06-17,2016-06-18,First Class,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Art,1.68,1,0.0,0.84,2016,1,Fast delivery
63,2015-11-24,2015-11-30,Standard Class,Kunst Miller,Consumer,Los Angeles,California,West,Technology,Accessories,13.98,2,0.0,6.1512,2015,6,Standard delivery
64,2015-11-24,2015-11-30,Standard Class,Kunst Miller,Consumer,Los Angeles,California,West,Office Supplies,Binders,25.824,6,0.2,9.3612,2015,6,Standard delivery
65,2015-11-24,2015-11-30,Standard Class,Kunst Miller,Consumer,Los Angeles,California,West,Office Supplies,Paper,146.73,3,0.0,68.9631,2015,6,Standard delivery
66,2015-11-24,2015-11-30,Standard Class,Kunst Miller,Consumer,Los Angeles,California,West,Furniture,Furnishings,79.76,4,0.0,22.3328,2015,6,Standard delivery
67,2015-04-30,2015-05-05,Standard Class,Paul Stevenson,Home Office,Chicago,Illinois,Central,Furniture,Chairs,213.115,5,0.3,-15.2225,2015,5,Standard delivery
68,2014-12-05,2014-12-10,Standard Class,Brendan Sweed,Corporate,Gilbert,Arizona,West,Office Supplies,Art,1113.024,8,0.2,111.3024,2014,5,Standard delivery
69,2014-12-05,2014-12-10,Standard Class,Brendan Sweed,Corporate,Gilbert,Arizona,West,Technology,Phones,167.968,4,0.2,62.988,2014,5,Standard delivery
70,2016-06-04,2016-06-06,First Class,Karen Daniels,Consumer,Springfield,Virginia,South,Office Supplies,Paper,75.88,2,0.0,35.6636,2016,2,Fast delivery
71,2016-09-18,2016-09-23,Standard Class,Henry MacAllister,Consumer,New York City,New York,East,Office Supplies,Binders,4.616,1,0.2,1.731,2016,5,Standard delivery
72,2017-09-14,2017-09-17,Second Class,Tracy Blumstein,Consumer,Jackson,Michigan,Central,Office Supplies,Paper,19.05,3,0.0,8.763,2017,3,Standard delivery
73,2015-04-26,2015-05-02,Standard Class,Joel Eaton,Consumer,Memphis,Tennessee,South,Furniture,Chairs,831.936,8,0.2,-114.3912,2015,6,Standard delivery
74,2015-04-26,2015-05-02,Standard Class,Joel Eaton,Consumer,Memphis,Tennessee,South,Furniture,Furnishings,97.04,2,0.2,1.213,2015,6,Standard delivery
75,2015-04-26,2015-05-02,Standard Class,Joel Eaton,Consumer,Memphis,Tennessee,South,Office Supplies,Storage,72.784,1,0.2,-18.196,2015,6,Standard delivery
76,2017-12-09,2017-12-11,First Class,Ken Brennan,Corporate,Houston,Texas,Central,Office Supplies,Binders,1.248,3,0.8,-1.9344,2017,2,Fast delivery
77,2017-12-09,2017-12-11,First Class,Ken Brennan,Corporate,Houston,Texas,Central,Furniture,Furnishings,9.708,3,0.6,-5.8248,2017,2,Fast delivery
78,2017-12-09,2017-12-11,First Class,Ken Brennan,Corporate,Houston,Texas,Central,Office Supplies,Storage,27.24,3,0.2,2.724,2017,2,Fast delivery
79,2014-11-26,2014-12-01,Second Class,Joel Eaton,Consumer,Houston,Texas,Central,Furniture,Furnishings,19.3,5,0.6,-14.475,2014,5,Standard delivery
80,2016-06-12,2016-06-15,First Class,Stewart Carmichael,Corporate,Decatur,Alabama,South,Office Supplies,Appliances,208.16,1,0.0,56.2032,2016,3,Standard delivery
81,2016-06-12,2016-06-15,First Class,Stewart Carmichael,Corporate,Decatur,Alabama,South,Office Supplies,Binders,16.74,3,0.0,8.0352,2016,3,Standard delivery
82,2014-10-12,2014-10-16,Standard Class,Duane Noonan,Consumer,San Francisco,California,West,Office Supplies,Art,14.9,5,0.0,4.172,2014,4,Standard delivery
83,2014-10-12,2014-10-16,Standard Class,Duane Noonan,Consumer,San Francisco,California,West,Office Supplies,Storage,21.39,1,0.0,6.2031,2014,4,Standard delivery
84,2015-09-03,2015-09-08,Standard Class,Julie Creighton,Corporate,Durham,North Carolina,South,Office Supplies,Envelopes,200.984,7,0.2,62.8075,2015,5,Standard delivery
85,2017-11-13,2017-11-16,First Class,Christopher Schild,Home Office,Chicago,Illinois,Central,Office Supplies,Storage,230.376,3,0.2,-48.9549,2017,3,Standard delivery
86,2017-05-28,2017-05-30,Second Class,Patrick O'Donnell,Consumer,Columbia,South Carolina,South,Furniture,Chairs,301.96,2,0.0,33.2156,2017,2,Fast delivery
87,2017-10-26,2017-11-02,Standard Class,Paul Gonzalez,Consumer,Rochester,Minnesota,Central,Technology,Accessories,19.99,1,0.0,6.7966,2017,7,Delayed delivery
88,2017-10-26,2017-11-02,Standard Class,Paul Gonzalez,Consumer,Rochester,Minnesota,Central,Office Supplies,Labels,6.16,2,0.0,2.9568,2017,7,Delayed delivery
89,2016-04-05,2016-04-10,Second Class,Gary Mitchum,Home Office,Houston,Texas,Central,Office Supplies,Storage,158.368,7,0.2,13.8572,2016,5,Standard delivery
90,2016-09-17,2016-09-22,Standard Class,Jim Sink,Corporate,Los Angeles,California,West,Office Supplies,Art,20.1,3,0.0,6.633,2016,5,Standard delivery
91,2016-09-17,2016-09-22,Standard Class,Jim Sink,Corporate,Los Angeles,California,West,Technology,Phones,73.584,2,0.2,8.2782,2016,5,Standard delivery
92,2016-09-17,2016-09-22,Standard Class,Jim Sink,Corporate,Los Angeles,California,West,Office Supplies,Paper,6.48,1,0.0,3.1104,2016,5,Standard delivery
93,2015-01-31,2015-02-05,Second Class,Karl Braun,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Paper,12.96,2,0.0,6.2208,2015,5,Standard delivery
94,2015-01-31,2015-02-05,Second Class,Karl Braun,Consumer,Minneapolis,Minnesota,Central,Furniture,Furnishings,53.34,3,0.0,16.5354,2015,5,Standard delivery
95,2015-01-31,2015-02-05,Second Class,Karl Braun,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Binders,32.96,2,0.0,16.1504,2015,5,Standard delivery
96,2017-11-06,2017-11-12,Standard Class,Roger Barcio,Home Office,Portland,Oregon,West,Office Supplies,Binders,5.682,1,0.7,-3.788,2017,6,Standard delivery
97,2017-11-09,2017-11-11,Second Class,Parhena Norris,Home Office,New York City,New York,East,Furniture,Furnishings,96.53,7,0.0,40.5426,2017,2,Fast delivery
98,2017-06-17,2017-06-20,First Class,Katherine Ducich,Consumer,San Francisco,California,West,Office Supplies,Binders,51.312,3,0.2,17.9592,2017,3,Standard delivery
99,2016-09-06,2016-09-11,Standard Class,Elpida Rittenbach,Corporate,Saint Paul,Minnesota,Central,Office Supplies,Appliances,77.88,6,0.0,22.5852,2016,5,Standard delivery
100,2016-08-29,2016-09-02,Standard Class,Rick Bensley,Home Office,Chicago,Illinois,Central,Office Supplies,Paper,64.624,7,0.2,22.6184,2016,4,Standard delivery
101,2016-08-29,2016-09-02,Standard Class,Rick Bensley,Home Office,Chicago,Illinois,Central,Technology,Accessories,95.976,3,0.2,-10.7973,2016,4,Standard delivery
102,2016-08-29,2016-09-02,Standard Class,Rick Bensley,Home Office,Chicago,Illinois,Central,Office Supplies,Binders,1.788,3,0.8,-3.0396,2016,4,Standard delivery
103,2016-12-01,2016-12-04,Second Class,Gary Zandusky,Consumer,Rochester,Minnesota,Central,Office Supplies,Paper,23.92,4,0.0,11.7208,2016,3,Standard delivery
104,2015-11-13,2015-11-17,Standard Class,Lena Cacioppo,Consumer,Aurora,Colorado,West,Technology,Accessories,238.896,6,0.2,-26.8758,2015,4,Standard delivery
105,2015-11-13,2015-11-17,Standard Class,Lena Cacioppo,Consumer,Aurora,Colorado,West,Furniture,Furnishings,102.36,3,0.2,-3.8385,2015,4,Standard delivery
106,2015-11-13,2015-11-17,Standard Class,Lena Cacioppo,Consumer,Aurora,Colorado,West,Office Supplies,Binders,36.882,3,0.7,-25.8174,2015,4,Standard delivery
107,2017-11-23,2017-11-28,Standard Class,Janet Martin,Consumer,Charlotte,North Carolina,South,Technology,Accessories,74.112,8,0.2,17.6016,2017,5,Standard delivery
108,2017-11-23,2017-11-28,Standard Class,Janet Martin,Consumer,Charlotte,North Carolina,South,Technology,Phones,27.992,1,0.2,2.0994,2017,5,Standard delivery
109,2017-11-23,2017-11-28,Standard Class,Janet Martin,Consumer,Charlotte,North Carolina,South,Office Supplies,Art,3.304,1,0.2,1.0738,2017,5,Standard delivery
110,2015-10-15,2015-10-20,Standard Class,Pete Armstrong,Home Office,Orland Park,Illinois,Central,Technology,Accessories,339.96,5,0.2,67.992,2015,5,Standard delivery
111,2017-12-25,2017-12-30,Standard Class,Cynthia Voltz,Corporate,New York City,New York,East,Furniture,Furnishings,41.96,2,0.0,10.9096,2017,5,Standard delivery
112,2016-11-03,2016-11-10,Standard Class,Clay Ludtke,Consumer,Urbandale,Iowa,Central,Office Supplies,Art,75.96,2,0.0,22.788,2016,7,Delayed delivery
113,2016-11-03,2016-11-10,Standard Class,Clay Ludtke,Consumer,Urbandale,Iowa,Central,Office Supplies,Binders,27.24,6,0.0,13.3476,2016,7,Delayed delivery
114,2014-08-25,2014-08-27,Second Class,Ryan Crowe,Consumer,Columbus,Ohio,East,Office Supplies,Fasteners,40.096,14,0.2,14.5348,2014,2,Fast delivery
115,2014-08-25,2014-08-27,Second Class,Ryan Crowe,Consumer,Columbus,Ohio,East,Office Supplies,Envelopes,4.72,2,0.2,1.652,2014,2,Fast delivery
116,2014-08-25,2014-08-27,Second Class,Ryan Crowe,Consumer,Columbus,Ohio,East,Office Supplies,Paper,23.976,3,0.2,7.4925,2014,2,Fast delivery
117,2014-08-25,2014-08-27,Second Class,Ryan Crowe,Consumer,Columbus,Ohio,East,Office Supplies,Envelopes,130.464,6,0.2,44.0316,2014,2,Fast delivery
118,2015-03-02,2015-03-06,Standard Class,Dave Kipp,Consumer,Seattle,Washington,West,Furniture,Tables,787.53,3,0.0,165.3813,2015,4,Standard delivery
119,2015-04-05,2015-04-10,Standard Class,Greg Guthrie,Corporate,Bristol,Tennessee,South,Office Supplies,Binders,157.794,1,0.7,-115.7156,2015,5,Standard delivery
120,2016-06-12,2016-06-15,First Class,Steven Cartwright,Consumer,Wilmington,Delaware,East,Furniture,Furnishings,47.04,3,0.0,18.3456,2016,3,Standard delivery
121,2016-06-12,2016-06-15,First Class,Steven Cartwright,Consumer,Wilmington,Delaware,East,Office Supplies,Binders,30.84,4,0.0,13.878,2016,3,Standard delivery
122,2016-06-12,2016-06-15,First Class,Steven Cartwright,Consumer,Wilmington,Delaware,East,Office Supplies,Storage,226.56,6,0.0,63.4368,2016,3,Standard delivery
123,2016-06-12,2016-06-15,First Class,Steven Cartwright,Consumer,Wilmington,Delaware,East,Office Supplies,Envelopes,115.02,9,0.0,51.759,2016,3,Standard delivery
124,2016-06-12,2016-06-15,First Class,Steven Cartwright,Consumer,Wilmington,Delaware,East,Technology,Phones,68.04,7,0.0,19.7316,2016,3,Standard delivery
125,2014-12-26,2014-12-28,Second Class,Alan Dominguez,Home Office,Houston,Texas,Central,Furniture,Chairs,600.558,3,0.3,-8.5794,2014,2,Fast delivery
126,2014-09-20,2014-09-25,Standard Class,Philip Fox,Consumer,Bloomington,Illinois,Central,Furniture,Tables,617.7,6,0.5,-407.682,2014,5,Standard delivery
127,2017-11-05,2017-11-12,Standard Class,Troy Staebel,Consumer,Phoenix,Arizona,West,Office Supplies,Binders,2.388,2,0.7,-1.8308,2017,7,Delayed delivery
128,2017-11-05,2017-11-12,Standard Class,Troy Staebel,Consumer,Phoenix,Arizona,West,Office Supplies,Storage,243.992,7,0.2,30.499,2017,7,Delayed delivery
129,2016-11-06,2016-11-10,Second Class,Lindsay Shagiari,Home Office,Los Angeles,California,West,Furniture,Chairs,81.424,2,0.2,-9.1602,2016,4,Standard delivery
130,2016-11-06,2016-11-10,Second Class,Lindsay Shagiari,Home Office,Los Angeles,California,West,Furniture,Furnishings,238.56,3,0.0,26.2416,2016,4,Standard delivery
131,2017-02-02,2017-02-05,First Class,Dorothy Wardle,Corporate,Columbus,Ohio,East,Technology,Phones,59.97,5,0.4,-11.994,2017,3,Standard delivery
132,2017-02-02,2017-02-05,First Class,Dorothy Wardle,Corporate,Columbus,Ohio,East,Office Supplies,Paper,78.304,2,0.2,29.364,2017,3,Standard delivery
133,2017-02-02,2017-02-05,First Class,Dorothy Wardle,Corporate,Columbus,Ohio,East,Office Supplies,Fasteners,21.456,9,0.2,6.9732,2017,3,Standard delivery
134,2016-10-13,2016-10-19,Standard Class,Lena Creighton,Consumer,Roseville,California,West,Office Supplies,Paper,20.04,3,0.0,9.6192,2016,6,Standard delivery
135,2016-10-13,2016-10-19,Standard Class,Lena Creighton,Consumer,Roseville,California,West,Office Supplies,Paper,35.44,1,0.0,16.6568,2016,6,Standard delivery
136,2016-10-13,2016-10-19,Standard Class,Lena Creighton,Consumer,Roseville,California,West,Office Supplies,Art,11.52,4,0.0,3.456,2016,6,Standard delivery
137,2016-10-13,2016-10-19,Standard Class,Lena Creighton,Consumer,Roseville,California,West,Office Supplies,Fasteners,4.02,2,0.0,1.9698,2016,6,Standard delivery
138,2016-10-13,2016-10-19,Standard Class,Lena Creighton,Consumer,Roseville,California,West,Office Supplies,Binders,76.176,3,0.2,26.6616,2016,6,Standard delivery
139,2016-10-13,2016-10-19,Standard Class,Lena Creighton,Consumer,Roseville,California,West,Office Supplies,Supplies,65.88,6,0.0,18.4464,2016,6,Standard delivery
140,2016-10-13,2016-10-19,Standard Class,Lena Creighton,Consumer,Roseville,California,West,Furniture,Furnishings,43.12,14,0.0,20.6976,2016,6,Standard delivery
141,2016-09-05,2016-09-07,Second Class,Jonathan Doherty,Corporate,Philadelphia,Pennsylvania,East,Furniture,Furnishings,82.8,2,0.2,10.35,2016,2,Fast delivery
142,2017-09-18,2017-09-23,Standard Class,Sally Hughsby,Corporate,San Francisco,California,West,Office Supplies,Art,8.82,3,0.0,2.3814,2017,5,Standard delivery
143,2017-09-18,2017-09-23,Standard Class,Sally Hughsby,Corporate,San Francisco,California,West,Office Supplies,Envelopes,10.86,3,0.0,5.1042,2017,5,Standard delivery
144,2017-09-18,2017-09-23,Standard Class,Sally Hughsby,Corporate,San Francisco,California,West,Office Supplies,Paper,143.7,3,0.0,68.976,2017,5,Standard delivery
145,2017-12-22,2017-12-27,Standard Class,Sandra Glassco,Consumer,Independence,Missouri,Central,Office Supplies,Appliances,839.43,3,0.0,218.2518,2017,5,Standard delivery
146,2015-09-07,2015-09-12,Standard Class,Helen Andreada,Consumer,Pasadena,California,West,Office Supplies,Storage,671.93,7,0.0,20.1579,2015,5,Standard delivery
147,2014-10-22,2014-10-28,Standard Class,Maureen Gastineau,Home Office,Newark,Ohio,East,Furniture,Furnishings,93.888,4,0.2,12.9096,2014,6,Standard delivery
148,2016-12-05,2016-12-09,Standard Class,Justin Ellison,Corporate,Franklin,Wisconsin,Central,Technology,Phones,384.45,11,0.0,103.8015,2016,4,Standard delivery
149,2016-12-05,2016-12-09,Standard Class,Justin Ellison,Corporate,Franklin,Wisconsin,Central,Technology,Phones,149.97,3,0.0,5.9988,2016,4,Standard delivery
150,2016-12-05,2016-12-09,Standard Class,Justin Ellison,Corporate,Franklin,Wisconsin,Central,Furniture,Chairs,1951.84,8,0.0,585.552,2016,4,Standard delivery
151,2016-12-05,2016-12-09,Standard Class,Justin Ellison,Corporate,Franklin,Wisconsin,Central,Office Supplies,Binders,171.55,5,0.0,80.6285,2016,4,Standard delivery
152,2016-03-13,2016-03-16,First Class,Tamara Willingham,Home Office,Scottsdale,Arizona,West,Office Supplies,Appliances,157.92,5,0.2,17.766,2016,3,Standard delivery
153,2016-03-13,2016-03-16,First Class,Tamara Willingham,Home Office,Scottsdale,Arizona,West,Technology,Phones,203.184,2,0.2,15.2388,2016,3,Standard delivery
154,2015-05-31,2015-06-02,First Class,Stephanie Phelps,Corporate,San Jose,California,West,Office Supplies,Paper,58.38,7,0.0,26.271,2015,2,Fast delivery
155,2015-05-31,2015-06-02,First Class,Stephanie Phelps,Corporate,San Jose,California,West,Office Supplies,Paper,105.52,4,0.0,48.5392,2015,2,Fast delivery
156,2015-05-31,2015-06-02,First Class,Stephanie Phelps,Corporate,San Jose,California,West,Office Supplies,Storage,80.88,6,0.0,21.0288,2015,2,Fast delivery
157,2015-05-28,2015-06-03,Standard Class,Neil Knudson,Home Office,Seattle,Washington,West,Office Supplies,Art,6.63,3,0.0,1.7901,2015,6,Standard delivery
158,2014-03-01,2014-03-06,Second Class,Dave Brooks,Consumer,Seattle,Washington,West,Furniture,Chairs,457.568,2,0.2,51.4764,2014,5,Standard delivery
159,2016-11-20,2016-11-24,Standard Class,Nora Paige,Consumer,Edmond,Oklahoma,Central,Office Supplies,Labels,14.62,2,0.0,6.8714,2016,4,Standard delivery
160,2016-11-20,2016-11-24,Standard Class,Nora Paige,Consumer,Edmond,Oklahoma,Central,Technology,Phones,944.93,7,0.0,236.2325,2016,4,Standard delivery
161,2016-05-11,2016-05-12,First Class,Ted Trevino,Consumer,Los Angeles,California,West,Office Supplies,Paper,5.98,1,0.0,2.691,2016,1,Fast delivery
162,2015-12-28,2015-12-31,Second Class,Eric Murdock,Consumer,Philadelphia,Pennsylvania,East,Technology,Accessories,54.384,2,0.2,1.3596,2015,3,Standard delivery
163,2016-11-16,2016-11-20,Standard Class,Ruben Dartt,Consumer,Carlsbad,New Mexico,West,Office Supplies,Envelopes,28.4,5,0.0,13.348,2016,4,Standard delivery
